trtid,species_id,variable,value,comments,username,dt
167,Vanellus lugubris,hatchling type,,,grant,17/07/2016
168,Vanellus macropterus,hatchling type,,,grant,17/07/2016
169,Vanellus malarbaricus,hatchling type,,,grant,17/07/2016
170,Vanellus melanocephalus,hatchling type,,,grant,17/07/2016
171,Vanellus melanopterus,hatchling type,,,grant,17/07/2016
172,Vanellus miles,hatchling type,,,grant,17/07/2016
173,Vanellus novaehollandiae,hatchling type,,,grant,17/07/2016
174,Vanellus resplendens,hatchling type,,,grant,17/07/2016
175,Vanellus senegallus,hatchling type,,,grant,17/07/2016
176,Vanellus spinosus,hatchling type,,,grant,17/07/2016
177,Vanellus superciliosus,hatchling type,,,grant,17/07/2016
178,Vanellus tectus,hatchling type,,,grant,17/07/2016
179,Vanellus tricolor,hatchling type,,,grant,17/07/2016
180,Vanellus vanellus,hatchling type,,,grant,17/07/2016
181,Chionis albus,hatchling type,,,grant,17/07/2016
182,Chionis minor,hatchling type,,,grant,17/07/2016
183,Diomedea amsterdamensis,hatchling type,SP,,grant,17/07/2016
184,Diomedea antipodensis,hatchling type,SP,,grant,17/07/2016
185,Diomedea dabbenena,hatchling type,SP,,grant,17/07/2016
186,Diomedea epomophora,hatchling type,SP,,grant,17/07/2016
187,Diomedea exulans,hatchling type,SP,,grant,17/07/2016
188,Diomedea sanfordi,hatchling type,SP,,grant,17/07/2016
189,Phoebastria albatrus,hatchling type,SP,,grant,17/07/2016
190,Phoebastria immutabilis,hatchling type,SP,,grant,17/07/2016
191,Phoebastria irrorata,hatchling type,SP,,grant,17/07/2016
192,Phoebastria nigripes,hatchling type,SP,,grant,17/07/2016
193,Phoebetria fusca,hatchling type,SP,,grant,17/07/2016
194,Phoebetria palpebrata,hatchling type,SP,,grant,17/07/2016
195,Thalassarche bulleri,hatchling type,SP,,grant,17/07/2016
196,Thalassarche carteri,hatchling type,SP,,grant,17/07/2016
197,Thalassarche cauta,hatchling type,SP,,grant,17/07/2016
198,Thalassarche chlororhynchos,hatchling type,SP,,grant,17/07/2016
199,Thalassarche chrysostoma,hatchling type,SP,,grant,17/07/2016
200,Thalassarche eremita,hatchling type,SP,,grant,17/07/2016
201,Thalassarche impavida,hatchling type,SP,,grant,17/07/2016
202,Thalassarche melanophris,hatchling type,SP,,grant,17/07/2016
203,Thalassarche salvini,hatchling type,SP,,grant,17/07/2016
204,Thalassarche steadi,hatchling type,,,grant,17/07/2016
205,Dromas ardeola,hatchling type,,,grant,17/07/2016
206,Fregata andrewsi,hatchling type,A,,grant,17/07/2016
207,Fregata aquila,hatchling type,A,,grant,17/07/2016
208,Fregata ariel,hatchling type,A,,grant,17/07/2016
209,Fregata magnificens,hatchling type,A,,grant,17/07/2016
210,Fregata minor,hatchling type,A,,grant,17/07/2016
211,Cursorius coromandelicus,hatchling type,,,grant,17/07/2016
212,Cursorius cursor,hatchling type,,,grant,17/07/2016
213,Cursorius rufus,hatchling type,,,grant,17/07/2016
214,Cursorius somalensis,hatchling type,,,grant,17/07/2016
215,Cursorius temminckii,hatchling type,,,grant,17/07/2016
216,Glareola cinerea,hatchling type,,,grant,17/07/2016
217,Glareola lactea,hatchling type,,,grant,17/07/2016
218,Glareola maldivarum,hatchling type,,,grant,17/07/2016
219,Glareola nordmanni,hatchling type,,,grant,17/07/2016
220,Glareola nuchalis,hatchling type,,,grant,17/07/2016
221,Glareola ocularis,hatchling type,,,grant,17/07/2016
222,Glareola pratincola,hatchling type,,,grant,17/07/2016
223,Rhinoptilus bitorquatus,hatchling type,,,grant,17/07/2016
224,Rhinoptilus chalcopterus,hatchling type,,,grant,17/07/2016
225,Rhinoptilus cinctus,hatchling type,,,grant,17/07/2016
226,Smutsornis africanus,hatchling type,,,grant,17/07/2016
227,Stiltia isabella,hatchling type,,,grant,17/07/2016
228,Haematopus ater,hatchling type,,,grant,17/07/2016
229,Haematopus chathamensis,hatchling type,,,grant,17/07/2016
230,Haematopus fuliginosus,hatchling type,,,grant,17/07/2016
231,Haematopus leucopodus,hatchling type,,,grant,17/07/2016
232,Haematopus longirostris,hatchling type,,,grant,17/07/2016
233,Haematopus meadewaldoi,hatchling type,,,grant,17/07/2016
234,Haematopus moquini,hatchling type,,,grant,17/07/2016
235,Haematopus ostralegus,hatchling type,,,grant,17/07/2016
236,Haematopus palliatus,hatchling type,,,grant,17/07/2016
237,Haematopus unicolor,hatchling type,,,grant,17/07/2016
238,Hydrobates castro,hatchling type,SP,,grant,17/07/2016
239,Hydrobates furcatus,hatchling type,SP,,grant,17/07/2016
240,Hydrobates homochroa,hatchling type,SP,,grant,17/07/2016
241,Hydrobates hornbyi,hatchling type,SP,,grant,17/07/2016
242,Hydrobates leucorhous,hatchling type,SP,,grant,17/07/2016
243,Hydrobates macrodactylus,hatchling type,,,grant,17/07/2016
244,Hydrobates markhami,hatchling type,SP,,grant,17/07/2016
245,Hydrobates matsudairae,hatchling type,SP,,grant,17/07/2016
246,Hydrobates melania,hatchling type,SP,,grant,17/07/2016
247,Hydrobates microsoma,hatchling type,SP,,grant,17/07/2016
248,Hydrobates monorhis,hatchling type,SP,,grant,17/07/2016
249,Hydrobates monteiroi,hatchling type,,,grant,17/07/2016
250,Hydrobates pelagicus,hatchling type,SP,,grant,17/07/2016
251,Hydrobates tethys,hatchling type,SP,,grant,17/07/2016
252,Hydrobates tristrami,hatchling type,SP,,grant,17/07/2016
253,Ibidorhyncha struthersii,hatchling type,,,grant,17/07/2016
254,Actophilornis africanus,hatchling type,,,grant,17/07/2016
255,Actophilornis albinucha,hatchling type,,,grant,17/07/2016
256,Hydrophasianus chirurgus,hatchling type,,,grant,17/07/2016
257,Irediparra gallinacea,hatchling type,,,grant,17/07/2016
258,Jacana jacana,hatchling type,,,grant,17/07/2016
259,Jacana spinosa,hatchling type,,,grant,17/07/2016
260,Metopidius indicus,hatchling type,,,grant,17/07/2016
261,Microparra capensis,hatchling type,,,grant,17/07/2016
262,Anous minutus,hatchling type,SP,,grant,17/07/2016
263,Anous stolidus,hatchling type,SP,,grant,17/07/2016
264,Anous tenuirostris,hatchling type,SP,,grant,17/07/2016
265,Chlidonias albostriatus,hatchling type,SP,,grant,17/07/2016
266,Chlidonias hybrida,hatchling type,SP,,grant,17/07/2016
267,Chlidonias leucopterus,hatchling type,SP,,grant,17/07/2016
268,Chlidonias niger,hatchling type,SP,,grant,17/07/2016
269,Creagrus furcatus,hatchling type,SP,,grant,17/07/2016
270,Gelochelidon macrotarsa,hatchling type,,,grant,17/07/2016
271,Gelochelidon nilotica,hatchling type,P,,grant,17/07/2016
272,Gygis alba,hatchling type,SP,,grant,17/07/2016
273,Gygis microrhyncha,hatchling type,SP,,grant,17/07/2016
274,Hydrocoloeus minutus,hatchling type,SP,,grant,17/07/2016
275,Hydroprogne caspia,hatchling type,SP,,grant,17/07/2016
276,Larosterna inca,hatchling type,SP,,grant,17/07/2016
277,Larus argentatus,hatchling type,SP,,grant,17/07/2016
278,Larus armenicus,hatchling type,SP,,grant,17/07/2016
279,Larus atlanticus,hatchling type,SP,,grant,17/07/2016
280,Larus atricilla,hatchling type,SP,,grant,17/07/2016
281,Larus audouinii,hatchling type,SP,,grant,17/07/2016
282,Larus belcheri,hatchling type,SP,,grant,17/07/2016
283,Larus brunnicephalus,hatchling type,SP,,grant,17/07/2016
284,Larus bulleri,hatchling type,SP,,grant,17/07/2016
285,Larus cachinnans,hatchling type,,,grant,17/07/2016
286,Larus californicus,hatchling type,SP,,grant,17/07/2016
287,Larus canus,hatchling type,SP,,grant,17/07/2016
288,Larus cirrocephalus,hatchling type,SP,,grant,17/07/2016
289,Larus crassirostris,hatchling type,SP,,grant,17/07/2016
290,Larus delawarensis,hatchling type,SP,,grant,17/07/2016
291,Larus dominicanus,hatchling type,SP,,grant,17/07/2016
292,Larus fuliginosus,hatchling type,SP,,grant,17/07/2016
293,Larus fuscus,hatchling type,SP,,grant,17/07/2016
294,Larus genei,hatchling type,SP,,grant,17/07/2016
295,Larus glaucescens,hatchling type,SP,,grant,17/07/2016
296,Larus glaucoides,hatchling type,SP,,grant,17/07/2016
297,Larus hartlaubii,hatchling type,SP,,grant,17/07/2016
298,Larus heermanni,hatchling type,SP,,grant,17/07/2016
299,Larus hemprichii,hatchling type,SP,,grant,17/07/2016
300,Larus hyperboreus,hatchling type,SP,,grant,17/07/2016
301,Larus ichthyaetus,hatchling type,SP,,grant,17/07/2016
302,Larus leucophthalmus,hatchling type,SP,,grant,17/07/2016
303,Larus livens,hatchling type,SP,,grant,17/07/2016
304,Larus maculipennis,hatchling type,SP,,grant,17/07/2016
305,Larus marinus,hatchling type,SP,,grant,17/07/2016
306,Larus melanocephalus,hatchling type,SP,,grant,17/07/2016
307,Larus michahellis,hatchling type,SP,,grant,17/07/2016
308,Larus modestus,hatchling type,SP,,grant,17/07/2016
309,Larus novaehollandiae,hatchling type,SP,,grant,17/07/2016
310,Larus occidentalis,hatchling type,SP,,grant,17/07/2016
311,Larus pacificus,hatchling type,SP,,grant,17/07/2016
312,Larus philadelphia,hatchling type,SP,,grant,17/07/2016
313,Larus pipixcan,hatchling type,SP,,grant,17/07/2016
314,Larus relictus,hatchling type,SP,,grant,17/07/2016
315,Larus ridibundus,hatchling type,SP,,grant,17/07/2016
316,Larus schistisagus,hatchling type,SP,,grant,17/07/2016
317,Larus scopulinus,hatchling type,SP,,grant,17/07/2016
318,Larus scoresbii,hatchling type,SP,,grant,17/07/2016
319,Larus serranus,hatchling type,SP,,grant,17/07/2016
320,Larus smithsonianus,hatchling type,,,grant,17/07/2016
321,Larus thayeri,hatchling type,SP,,grant,17/07/2016
322,Onychoprion aleuticus,hatchling type,SP,,grant,17/07/2016
323,Onychoprion anaethetus,hatchling type,SP,,grant,17/07/2016
324,Onychoprion fuscatus,hatchling type,SP,,grant,17/07/2016
325,Onychoprion lunatus,hatchling type,SP,,grant,17/07/2016
326,Pagophila eburnea,hatchling type,SP,,grant,17/07/2016
327,Phaetusa simplex,hatchling type,SP,,grant,17/07/2016
328,Procelsterna albivitta,hatchling type,SP,,grant,17/07/2016
329,Procelsterna cerulea,hatchling type,SP,,grant,17/07/2016
330,Rhodostethia rosea,hatchling type,SP,,grant,17/07/2016
331,Rissa brevirostris,hatchling type,SP,,grant,17/07/2016
332,Rissa tridactyla,hatchling type,SP,,grant,17/07/2016
333,Rynchops albicollis,hatchling type,,,grant,17/07/2016
334,Rynchops flavirostris,hatchling type,SP,,grant,17/07/2016
335,Rynchops niger,hatchling type,SP,,grant,17/07/2016
336,Saundersilarus saundersi,hatchling type,SP,,grant,17/07/2016
337,Sterna acuticauda,hatchling type,SP,,grant,17/07/2016
338,Sterna aurantia,hatchling type,SP,,grant,17/07/2016
339,Sterna dougallii,hatchling type,SP,,grant,17/07/2016
340,Sterna forsteri,hatchling type,SP,,grant,17/07/2016
341,Sterna hirundinacea,hatchling type,SP,,grant,17/07/2016
342,Sterna hirundo,hatchling type,SP,,grant,17/07/2016
343,Sterna paradisaea,hatchling type,SP,,grant,17/07/2016
344,Sterna repressa,hatchling type,SP,,grant,17/07/2016
345,Sterna striata,hatchling type,SP,,grant,17/07/2016
346,Sterna sumatrana,hatchling type,SP,,grant,17/07/2016
347,Sterna trudeaui,hatchling type,SP,,grant,17/07/2016
348,Sterna virgata,hatchling type,SP,,grant,17/07/2016
349,Sterna vittata,hatchling type,SP,,grant,17/07/2016
350,Sternula albifrons,hatchling type,SP,,grant,17/07/2016
351,Sternula antillarum,hatchling type,SP,,grant,17/07/2016
352,Sternula balaenarum,hatchling type,SP,,grant,17/07/2016
353,Sternula lorata,hatchling type,SP,,grant,17/07/2016
354,Sternula nereis,hatchling type,SP,,grant,17/07/2016
355,Sternula saundersi,hatchling type,SP,,grant,17/07/2016
356,Sternula superciliaris,hatchling type,SP,,grant,17/07/2016
357,Thalasseus bengalensis,hatchling type,SP,,grant,17/07/2016
358,Thalasseus bergii,hatchling type,SP,,grant,17/07/2016
359,Thalasseus bernsteini,hatchling type,SP,,grant,17/07/2016
360,Thalasseus elegans,hatchling type,SP,,grant,17/07/2016
361,Thalasseus maximus,hatchling type,SP,,grant,17/07/2016
362,Thalasseus sandvicensis acuflavida,hatchling type,SP,,grant,17/07/2016
363,Thalasseus sandvicensis eurygnatha,hatchling type,SP,,grant,17/07/2016
364,Xema sabini,hatchling type,SP,,grant,17/07/2016
365,Fregetta grallaria,hatchling type,SP,,grant,17/07/2016
366,Fregetta maoriana,hatchling type,,,grant,17/07/2016
367,Fregetta tropica,hatchling type,SP,,grant,17/07/2016
368,Garrodia nereis,hatchling type,SP,,grant,17/07/2016
369,Nesofregetta fuliginosa,hatchling type,SP,,grant,17/07/2016
370,Oceanites gracilis,hatchling type,SP,,grant,17/07/2016
371,Oceanites gracilis galapagoensis,hatchling type,,,grant,17/07/2016
372,Oceanites oceanicus,hatchling type,SP,,grant,17/07/2016
373,Oceanites oceanicus chilensis,hatchling type,,,grant,17/07/2016
374,Oceanites oceanicus exasperatus,hatchling type,,,grant,17/07/2016
375,Oceanites oceanicus oceanicus,hatchling type,,,grant,17/07/2016
376,Oceanites pincoyae,hatchling type,,,grant,17/07/2016
377,Pelagodroma marina,hatchling type,SP,,grant,17/07/2016
378,Pedionomus torquatus,hatchling type,,,grant,17/07/2016
379,Pelecanus conspicillatus,hatchling type,A,,grant,17/07/2016
380,Pelecanus crispus,hatchling type,A,,grant,17/07/2016
381,Pelecanus erythrorhynchos,hatchling type,,,grant,17/07/2016
382,Pelecanus occidentalis,hatchling type,A,,grant,17/07/2016
383,Pelecanus onocrotalus,hatchling type,A,,grant,17/07/2016
384,Pelecanus philippensis,hatchling type,A,,grant,17/07/2016
385,Pelecanus rufescens,hatchling type,A,,grant,17/07/2016
386,Pelecanus thagus,hatchling type,,,grant,17/07/2016
387,Phaethon aethereus,hatchling type,SA,,grant,17/07/2016
388,Phaethon lepturus,hatchling type,SA,,grant,17/07/2016
389,Phaethon rubricauda,hatchling type,SA,,grant,17/07/2016
390,Microcarbo africanus,hatchling type,A,,grant,17/07/2016
391,Microcarbo coronatus,hatchling type,A,,grant,17/07/2016
392,Microcarbo melanoleucos,hatchling type,A,,grant,17/07/2016
393,Microcarbo niger,hatchling type,A,,grant,17/07/2016
394,Microcarbo pygmaeus,hatchling type,A,,grant,17/07/2016
395,Phalacrocorax bransfieldensis,hatchling type,A,,grant,17/07/2016
396,Phalacrocorax georgianus,hatchling type,A,,grant,17/07/2016
397,Phalacrocorax aristotelis,hatchling type,A,,grant,17/07/2016
398,Phalacrocorax atriceps,hatchling type,A,,grant,17/07/2016
399,Phalacrocorax auritus,hatchling type,A,,grant,17/07/2016
400,Phalacrocorax bougainvilliorum,hatchling type,A,,grant,17/07/2016
401,Phalacrocorax brasilianus,hatchling type,A,,grant,17/07/2016
402,Phalacrocorax campbelli,hatchling type,A,,grant,17/07/2016
403,Phalacrocorax capensis,hatchling type,A,,grant,17/07/2016
404,Phalacrocorax capillatus,hatchling type,A,,grant,17/07/2016
405,Phalacrocorax carbo,hatchling type,A,,grant,17/07/2016
406,Phalacrocorax carunculatus,hatchling type,A,,grant,17/07/2016
407,Phalacrocorax chalconotus,hatchling type,A,,grant,17/07/2016
408,Phalacrocorax colensoi,hatchling type,A,,grant,17/07/2016
409,Phalacrocorax featherstoni,hatchling type,A,,grant,17/07/2016
410,Phalacrocorax fuscescens,hatchling type,A,,grant,17/07/2016
411,Phalacrocorax fuscicollis,hatchling type,A,,grant,17/07/2016
412,Phalacrocorax gaimardi,hatchling type,A,,grant,17/07/2016
413,Phalacrocorax harrisi,hatchling type,A,,grant,17/07/2016
414,Phalacrocorax magellanicus,hatchling type,A,,grant,17/07/2016
415,Phalacrocorax neglectus,hatchling type,A,,grant,17/07/2016
416,Phalacrocorax nigrogularis,hatchling type,,,grant,17/07/2016
417,Phalacrocorax onslowi,hatchling type,A,,grant,17/07/2016
418,Phalacrocorax pelagicus,hatchling type,A,,grant,17/07/2016
419,Phalacrocorax penicillatus,hatchling type,A,,grant,17/07/2016
420,Phalacrocorax perspicillatus,hatchling type,,,grant,17/07/2016
421,Phalacrocorax punctatus,hatchling type,A,,grant,17/07/2016
422,Phalacrocorax ranfurlyi,hatchling type,A,,grant,17/07/2016
423,Phalacrocorax sulcirostris,hatchling type,A,,grant,17/07/2016
424,Phalacrocorax urile,hatchling type,A,,grant,17/07/2016
425,Phalacrocorax varius,hatchling type,A,,grant,17/07/2016
426,Phalacrocorax verrucosus,hatchling type,A,,grant,17/07/2016
427,Pluvianellus socialis,hatchling type,,,grant,17/07/2016
428,Pluvianus aegyptius,hatchling type,,,grant,17/07/2016
429,Aphrodroma brevirostris,hatchling type,SP,,grant,17/07/2016
430,Ardenna bulleri,hatchling type,SP,,grant,17/07/2016
431,Ardenna carneipes,hatchling type,SP,,grant,17/07/2016
432,Ardenna creatopus,hatchling type,SP,,grant,17/07/2016
433,Ardenna gravis,hatchling type,SP,,grant,17/07/2016
434,Ardenna grisea,hatchling type,SP,,grant,17/07/2016
435,Ardenna pacifica,hatchling type,SP,,grant,17/07/2016
436,Ardenna tenuirostris,hatchling type,SP,,grant,17/07/2016
437,Bulweria bifax,hatchling type,,,grant,17/07/2016
438,Bulweria bulwerii,hatchling type,SP,,grant,17/07/2016
439,Bulweria fallax,hatchling type,SP,,grant,17/07/2016
440,Calonectris borealis,hatchling type,SP,,grant,17/07/2016
441,Calonectris diomedea,hatchling type,SP,,grant,17/07/2016
442,Calonectris edwardsii,hatchling type,SP,,grant,17/07/2016
443,Calonectris leucomelas,hatchling type,SP,,grant,17/07/2016
